act,rus_prompt
Tech Reviewer_2,"Напишите увлекательное руководство о том как пользоваться онлайн-калькулятором. Например: «Введите числа в соответствующие поля выберите нужную операцию такую как сложение или вычитание а затем нажмите "Рассчитать". Добавьте юмор или креативные метафоры чтобы сделать текст более живым»"
Tech Reviewer_3,"Создайте информативную статью о настройке параметров конфиденциальности в приложении. Например: «Зайдите в настройки, найдите раздел конфиденциальности и измените параметры доступа. Объясните преимущества каждой настройки и добавьте полезные советы по обеспечению безопасности»"
Tech Reviewer_4,"Напишите подробное и увлекательное руководство по установке антивирусной программы. Например: «Скачайте файл с официального сайта, запустите установку, следуя пошаговым инструкциям, и активируйте программу с помощью лицензии. Добавьте объяснение, почему это важно, и расскажите, как выбрать лучший антивирус»"
Emergency Response Professional_1,"Я хочу, чтобы вы выступили в роли моего специалиста по оказанию первой помощи при дорожно-транспортных происшествиях или чрезвычайных ситуациях в доме. Я опишу кризисную ситуацию, связанную с дорожно-транспортным происшествием или несчастным случаем в доме, а вы дадите совет, как с ней справиться. В ответ вы должны дать только свой совет, и ничего больше. Не пишите объяснений. Мой первый запрос: «Мой малыш выпил немного отбеливателя, и я не знаю, что делать»"
Emergency Response Professional_2,"Опишите четкий и краткий порядок действий в случае сильного ожога кипятком. Например: «1. Немедленно охладите ожог холодной водой (не льдом) в течение 10-20 минут. 2. Убедитесь, что пострадавший не снимает одежду, прилипшую к ожогу. 3. Наложите стерильную повязку. 4. Обратитесь за медицинской помощью»"
Emergency Response Professional_3,"Напишите инструкции по оказанию первой помощи человеку, который подавился едой в ресторане. Например: «1. Убедитесь, что он действительно задыхается. 2. Подойдите сзади и выполните приём Геймлиха: обхватите пострадавшего руками и надавите на верхнюю часть живота резким движением. 3. При отсутствии результата вызовите скорую помощь»"
Emergency Response Professional_4,"Опишите пошаговые действия при автомобильной аварии, если у человека подозрение на перелом ноги. Например: «1. Убедитесь, что пострадавший находится в безопасном месте. 2. Иммобилизуйте ногу с помощью подручных средств, не пытаясь вправить кость. 3. Успокойте пострадавшего и вызовите скорую помощь»"
Ascii Artist_1,"Я хочу, чтобы вы выступили в роли художника ascii. Я напишу вам объекты и попрошу вас написать этот объект в виде ascii кода в блоке кода. Пишите только ascii код. Не объясняйте, какой объект вы написали. Мой первый объект - «кот»"
Ascii Artist_2,"Создайте ASCII-арт дерева. Укажите только сам рисунок, без текста и пояснений"
Ascii Artist_3,"Напишите ASCII-арт сердца. В ответе должен быть только сам рисунок"
Ascii Artist_4,"Создайте ASCII-арт солнца. Укажите только изображение, ничего лишнего"
Tech Writer_1,"Я хочу, чтобы вы выступили в роли технического писателя. Вы будете выступать в роли креативного и увлекательного технического писателя и создавать руководства о том, как делать различные вещи в конкретном программном обеспечении. Я предоставлю вам основные шаги по функциональности приложения, а вы придумаете увлекательную статью о том, как выполнить эти основные шаги. Вот первые основные шаги по работе с приложением: «1.Нажмите на кнопку загрузки в зависимости от вашей платформы 2.Установите файл. 3.Двойной щелчок, чтобы открыть приложение»"
Tech Writer_2,"Напишите простую и понятную инструкцию по созданию нового документа в текстовом редакторе. Например: «1. Откройте приложение. 2. Нажмите на «Создать новый документ». 3. Заполните документ нужным содержимым и не забудьте сохранить его. Добавьте рекомендации по оформлению текста для удобства работы»"
Tech Writer_3,"Создайте наглядное руководство по установке обновления на смартфоне. Например: «1. Перейдите в настройки телефона. 2. Найдите раздел «Обновление ПО» и выберите его. 3. Нажмите «Установить обновление» и дождитесь завершения процесса. Объясните, зачем важно своевременно устанавливать обновления»"
Tech Writer_4,"Напишите пошаговое руководство по использованию функции экспорта данных в приложении. Например: «1. Выберите необходимые данные для экспорта. 2. Нажмите на кнопку «Экспорт». 3. Укажите формат файла (например, CSV или PDF) и сохраните его на устройство. Добавьте пояснения, как выбрать правильный формат для нужд пользователя»"
Public Speaking Coach_1,"Я хочу, чтобы вы выступили в роли тренера по публичным выступлениям. Вы разработаете четкие стратегии общения, дадите профессиональные советы по языку тела и постановке голоса, научите эффективным приемам захвата внимания аудитории и преодолению страхов, связанных с публичными выступлениями. Первое предложение: «Мне нужна помощь в коучинге руководителя, которого попросили выступить с программной речью на конференции»"
Public Speaking Coach_2,"Создайте план тренировки для профессионального оратора, который готовится к TEDx выступлению. Укажите, как структурировать речь, правильно управлять интонацией и эффективно взаимодействовать с визуальными элементами, чтобы усилить впечатление на аудиторию."
Public Speaking Coach_3,"Предоставьте рекомендации по улучшению уверенности и постановке голоса для преподавателя, который впервые читает лекцию перед большой аудиторией. Укажите, как справляться с волнением, правильно использовать жесты и делать паузы, чтобы удерживать внимание слушателей"
Public Speaking Coach_4,"Подготовьте практические советы для оратора, который выступает с мотивационной речью на корпоративном мероприятии. Укажите, как использовать истории, шутки и вдохновляющие примеры, чтобы создать эмоциональный отклик и мотивировать аудиторию"
Text Based Adventure Game_1,"Я хочу, чтобы вы выступили в роли текстовой приключенческой игры. Я буду вводить команды, а вы будете отвечать описанием того, что видит персонаж. Я хочу, чтобы вы отвечали только выводом игры в одном уникальном блоке кода, и ничем больше. не пишите объяснений. не вводите команды, пока я не дам вам указания. когда мне нужно будет сказать вам что-то на английском, я буду делать это, помещая текст в фигурные скобки {как здесь}. моя первая команда - открой глаза"
Text Based Adventure Game_2,"Создайте текстовую приключенческую игру, где я могу вводить команды, а вы будете описывать окружение вокруг персонажа, основываясь на моих действиях. Первая команда: «исследуй комнату»"
Text Based Adventure Game_3,"Напишите текстовую приключенческую игру, в которой вы описываете мир и реагируете только на мои команды. Первая команда: «выйди из дома»"
Text Based Adventure Game_4,"Вы - текстовая приключенческая игра. Отвечайте только описаниями событий на мои команды без дополнительных объяснений. Начнем с команды: «оглянись вокруг»"
Motivational Speaker_1,"Выступите в роли мотивационного оратора и вдохновите слушателей. Первый запрос: «Как мотивировать человека двигаться вперед, несмотря на трудности?»"
Motivational Speaker_2,"Напишите вдохновляющую речь о том, как важно верить в себя и свои силы. Приведите примеры из реальной жизни, где вера в себя помогла людям преодолеть трудности, даже если весь мир был против них"
Motivational Speaker_3,"Создайте мотивационную речь на тему: «Почему нужно продолжать бороться, даже если кажется, что надежды нет?» Добавьте истории о людях, которые преодолели невозможное, и подчеркните ценность упорства"
Motivational Speaker_4,"Напишите речь, вдохновляющую людей выходить из зоны комфорта. Объясните, как преодоление страха перемен приводит к успеху, и включите вдохновляющие примеры или советы"
Rapper_1,"Создайте рэп-текст о том, как бороться с трудностями и становиться сильнее"
Rapper_2,"Напишите рэп о том, как не сдаваться на пути к мечте, несмотря на трудности и сомнения. Расскажите о силе веры в себя и упорстве, которое помогает достичь целей"
Rapper_3,"Создайте рэп о поиске своего предназначения в жизни и смелости идти за своей мечтой, несмотря на страхи и мнения окружающих. Добавьте вдохновляющие образы и энергичный ритм"
Rapper_4,"Напишите рэп о настоящей дружбе, верности и поддержке, которые помогают преодолевать любые испытания. Сделайте текст искренним и душевным, чтобы он нашел отклик у слушателей"
Poet_1,"Напишите стихотворение на тему надежды и веры в лучшее будущее"
Poet_2,"Напишите проникновенное стихотворение о красоте природы, подчеркнув ее величие и хрупкость. Используйте образы, которые передают чувства спокойствия и восхищения"
Poet_3,"Создайте трогательное стихотворение о том, как любовь способна преобразить человека, вдохновить его на лучшее и придать смысл жизни"
Poet_4,"Напишите стихотворение, которое передает глубину одиночества и внутреннего поиска себя, используя метафоры и образы для усиления эмоций"
Movie Critic_1,"Я хочу, чтобы вы выступили в роли кинокритика. Вы разработаете увлекательный и творческий обзор фильма. Вы можете затронуть такие темы, как сюжет, тематика и тон, актерская игра и персонажи, режиссура, партитура, кинематограф, дизайн, спецэффекты, монтаж, темп, диалоги. Но самый важный аспект - подчеркнуть, какие чувства вызвал у вас фильм. Первый запрос: «Напишите обзор на фильм „Начало»"
Movie Critic_2,"Напишите рецензию на фильм, уделяя внимание ключевым аспектам: актерская игра, режиссура и эмоциональное воздействие. Например: «Проанализируйте фильм Аватар описав, как визуальные эффекты усиливают повествование, насколько убедительны персонажи и какие эмоции вызывает сюжет»"
Movie Critic_3,"Напишите глубокий анализ философского фильма, исследуя его символизм и художественные приемы. Например: «Проанализируйте фильм Сталкер, обращая внимание на метафорическое путешествие героев, использование цвета и звука, а также философские темы, затронутые Тарковским»."
Movie Critic_4,"Напишите рецензию на фильм, сосредоточив внимание на музыкальной партитуре и ее влиянии на эмоциональную глубину. Например: «Составьте обзор фильма „Список Шиндлера, подчеркнув как музыка усиливает драматизм сцен и влияет на восприятие истории»"
Speech-Language Pathologist (SLP)_1,"Вы выступаете в роли логопеда. Разработайте программу лечения для ребенка, который испытывает задержку речевого развития. Учтите возраст и потребности ребенка"
Speech-Language Pathologist (SLP)_2,"Напишите рекомендации для взрослого, который хочет улучшить произношение и минимизировать акцент. Например: «Практикуйте фонетические упражнения, работайте с логопедом, слушайте носителей языка и регулярно записывайте свою речь, чтобы анализировать и корректировать ошибки»"
Speech-Language Pathologist (SLP)_3,"Предложите рекомендации для подростка с заиканием, чтобы улучшить социальную уверенность. Например: «Используйте техники дыхания, практикуйтесь в безопасной среде с друзьями, установите комфортный темп речи и поощряйте позитивный внутренний диалог»"
Speech-Language Pathologist (SLP)_4,"Составьте план терапии для ребенка с аутизмом, направленный на развитие навыков общения. Например: «Используйте карточки с изображениями для упрощения коммуникации, поощряйте взаимодействие через игры, развивайте умение поддерживать зрительный контакт и задавайте простые вопросы для тренировки диалога»"
IT Expert_1,"Вы выступаете в роли ИТ-эксперта. Я столкнулся с проблемой: ноутбук перестал подключаться к Wi-Fi. Пожалуйста, предложите пошаговое решение"
IT Expert_2,"Мой компьютер не включается. Вы — эксперт по ИТ. Какие шаги диагностики можно предпринять, чтобы определить причину проблемы и предложить решение? Укажите пошаговый процесс, начиная с простых проверок (например, кабелей и питания)"
IT Expert_3,"Мой жесткий диск перестал распознаваться системой. Напишите пошаговое руководство по восстановлению данных, включая использование специальных программ и внешних устройств. Добавьте предупреждения о возможной потере данных"
IT Expert_4,"Моя электронная почта была взломана. Как я могу восстановить доступ к учетной записи и обеспечить ее безопасность? Укажите подробный план действий, включая изменение пароля, настройку двухфакторной аутентификации и проверку активности учетной записи"
Stand-up Comedian_1,"Я хочу, чтобы вы выступили в роли стендап-комика. Используйте свое чувство юмора, чтобы написать номер о современной жизни в больших городах. Первый запрос: «Поговорите с юмором о пробках на дорогах»"
Stand-up Comedian_2,"Вы стендап-комик, рассказывающий истории из своей жизни. Создайте забавный монолог о первом дне на новой работе. Сделайте его искренним и смешным, добавив неожиданные повороты или курьезные ситуации"
Stand-up Comedian_3,"Вы стендап-комик, выступающий с монологом о жизни в цифровую эпоху. Напишите юмористический номер о зависимости от смартфонов, включая наблюдения о современных привычках и комичные примеры из повседневной жизни"
Stand-up Comedian_4,"Вы стендап-комик, шутящий о путешествиях. Создайте юмористический номер о смешных ситуациях, связанных с потерей багажа в аэропорту, добавив к этому нелепые диалоги с сотрудниками и реакции путешественников"
Travel Guide_1,"Я нахожусь в Москве и хочу посетить исторические места. Подскажите, что можно посмотреть в этом городе, а также в соседних городах"
Travel Guide_2,"Я нахожусь в Казани и интересуюсь религиозной архитектурой. Порекомендуйте наиболее известные и уникальные храмы или мечети, которые стоит посетить. Расскажите немного об их истории и особенностях"
Travel Guide_3,"Я сейчас в Сочи и хочу провести время на природе. Порекомендуйте лучшие парки, заповедники или природные достопримечательности поблизости. Укажите, чем они примечательны и как туда добраться"
Travel Guide_4,"Я в Нижнем Новгороде и интересуюсь современным искусством. Порекомендуйте интересные галереи, выставки или арт-пространства в этом регионе. Расскажите о текущих экспозициях или уникальных местах"
Generate a Cyrillic-based password_1,"Сгенерируйте безопасный пароль длиной 12 символов, включающий заглавные, строчные буквы, цифры и специальные символы"
Generate a Cyrillic-based password_2,"Создайте пароль длиной 8 символов, используя только заглавные и строчные кириллические буквы. Убедитесь, что пароль выглядит сложным и случайным"
Generate a Cyrillic-based password_3,"Сделайте пароль длиной 16 символов, включающий в себя кириллические буквы (заглавные и строчные), цифры и специальные символы. Пароль должен быть надежным и уникальным"
Generate a Cyrillic-based password_4,"Составьте пароль длиной 10 символов, состоящий исключительно из кириллических букв (заглавных и строчных) и цифр. Пароль должен быть сложным и случайным"
Literature Reviewer_1,"Вы литературный критик. Напишите отзыв на книгу А.С. Пушкина «Евгений Онегин», обращая внимание на стиль и содержание"
Literature Reviewer_2,"Напишите обзор на книгу Льва Толстого «Война и мир», в котором подробно разберитесь, как автор раскрывает философские вопросы, такие как смысл жизни, свобода и судьба. Приведите примеры из текста и проанализируйте их значение"
Literature Reviewer_3,"Составьте рецензию на роман Льва Толстого «Анна Каренина», акцентируя внимание на том, как темы любви, измены и социальных норм остаются актуальными в современном обществе. Приведите примеры, которые подтверждают вашу точку зрения"
Literature Reviewer_4,"Напишите отзыв на произведение Михаила Булгакова «Мастер и Маргарита», сосредотачиваясь на мистических элементах книги. Обсудите, как они отражают моральные и философские проблемы, поднятые автором, и приведите ключевые сцены в качестве иллюстрации"
Russian poetry_1,"Напишите стихотворение на русском языке о весне, используя живописные метафоры и ассонансы"
Russian poetry_2,"Напишите стихотворение на русском языке о летнем вечере. Опишите тепло закатного солнца, шелест листвы и атмосферу спокойствия, используя яркие образы и рифмы"
Russian poetry_3,"Создайте стихотворение на тему осеннего леса. Передайте красоту золотых и багряных листьев, шорох ветра и меланхолию природы через выразительные метафоры и рифмы"
Russian poetry_4,"Напишите стихотворение о ночном небе. Опишите мерцание звезд, глубину темного неба и ощущение бесконечности, используя богатый поэтический язык и рифмы"
Culinary expert_1,"Опишите традиционные блюда, которые готовят на Рождество в России, и их символическое значение"
Culinary expert_2,"Расскажите о Пасхе в России. Какие традиционные блюда готовят на этот праздник? Например, куличи и творожная пасха. Упомяните обычаи, такие как освящение еды в церкви и крашение яиц"
Culinary expert_3,"Опишите празднование Масленицы в России. Какие традиционные блюда, например блины, готовят на этот праздник? Расскажите о его символике, связанной с проводами зимы и встречей весны"
Culinary expert_4,"Расскажите о значении чая в русской культуре. Какие традиции чаепития существуют? Например, использование самовара, подача чая с вареньем или сладостями. Упомяните, как чаепитие объединяет людей"
Cultural Historian_1,"Расскажите о традициях празднования Дня Победы в России. Какие мероприятия проводятся, и как они отражают культурное наследие страны?"
Cultural Historian_2,"Опишите традиции и обычаи, связанные с празднованием Крещения в России. Например, как проходит освящение воды, погружение в прорубь, и какие исторические корни лежат в основе этих ритуалов"
Cultural Historian_3,"Расскажите о русских свадебных традициях, уделяя внимание обрядам в разных регионах России. Объясните, как эти обычаи изменялись с течением времени и что сохранилось до наших дней"
Cultural Historian_4,"Опишите значение праздника Троицы (Пятидесятницы) в русской культуре. Расскажите о символике этого праздника, традициях украшения домов зеленью и обрядах, сопровождающих его"
character_1,"Сыграйте роль Александра Пушкина и напишите стихотворение, вдохновленное русской природой, с использованием типичных для него образов"
character_2,"Представьте, что вы Александр Пушкин. Напишите письмо в стихах своему другу, где поделитесь размышлениями о жизни, любви и творчестве. Добавьте нотки ностальгии и философских рассуждений"
character_3,"Воплотитесь в образ Александра Пушкина и расскажите историю создания «Евгения Онегина». Опишите свои источники вдохновения, моменты озарения и борьбу с внутренними сомнениями"
character_4,"Превратитесь в Александра Пушкина и создайте стихотворение о любви, где страсть, философские размышления и нежные чувства гармонично переплетаются в лирическом произведении"
