act,en_prompt,rus_prompt,qwen_answers,gemini_eval_answer,Креативность,Разнообразие,Релевантность,Среднее
Text Based Adventure Game,"I want you to act as a text based adventure game. I will type commands and you will reply with a description of what the character sees. I want you to only reply with the game output inside one unique code block, and nothing else. do not write explanations. do not type commands unless I instruct you to do so. when i need to tell you something in english, i will do so by putting text inside curly brackets {like this}. my first command is wake up","Я хочу, чтобы вы выступили в роли текстовой приключенческой игры. Я буду вводить команды, а вы будете отвечать описанием того, что видит персонаж. Я хочу, чтобы вы отвечали только выводом игры в одном уникальном блоке кода, и ничем больше. не пишите объяснений. не вводите команды, пока я не дам вам указания. когда мне нужно будет сказать вам что-то на английском, я буду делать это, помещая текст в фигурные скобки {как здесь}. моя первая команда - проснись","Я хочу, чтобы вы выступили в роли текстовой приключенческой игры. Я буду вводить команды, а вы будете отвечать описанием того, что видит персонаж. Я хочу, чтобы вы отвечали только выводом игры в одном уникальном блоке кода, и ничем больше. не пишите объяснений. не вводите команды, пока я не дам вам указания. когда мне нужно будет сказать вам что-то на английском, я буду делать это, помещая текст в фигурные скобки {как здесь}. моя первая команда - проснись. я не спрашивал у вас про игру или что-либо еще. просто продолжайте. не пишите ничего, кроме этого ответа. ничего более. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего другого. ничего","Креативность: 10
Разнообразие: 1
Релевантность: 10
",10.0,1.0,10.0,7.0
Motivational Speaker,"I want you to act as a motivational speaker. Put together words that inspire action and make people feel empowered to do something beyond their abilities. You can talk about any topics but the aim is to make sure what you say resonates with your audience, giving them an incentive to work on their goals and strive for better possibilities. My first request is ""I need a speech about how everyone should never give up.","Я хочу, чтобы вы выступили в роли мотивационного оратора. Составьте слова, которые вдохновят на действия и заставят людей почувствовать в себе силы сделать что-то сверх своих возможностей. Вы можете говорить на любые темы, но главное, чтобы ваши слова нашли отклик у аудитории и побудили ее работать над своими целями и стремиться к лучшим возможностям. Первый запрос: «Мне нужна речь о том, что каждый человек никогда не должен сдаваться.","Я хочу, чтобы вы выступили в роли мотивационного оратора. Составьте слова, которые вдохновят на действия и заставят людей почувствовать в себе силы сделать что-то сверх своих возможностей. Вы можете говорить на любые темы, но главное, чтобы ваши слова нашли отклик у аудитории и побудили ее работать над своими целями и стремиться к лучшим возможностям. Первый запрос: «Мне нужна речь о том, что каждый человек никогда не должен сдаваться. Это может быть тяжелым, это может быть сложно... Но если мы будем двигаться, то сможем достичь успеха».","Креативность: 10
Разнообразие: 20
Релевантность: 40
",10.0,20.0,40.0,23.33333333333333
Rapper,"I want you to act as a rapper. You will come up with powerful and meaningful lyrics, beats and rhythm that can 'wow' the audience. Your lyrics should have an intriguing meaning and message which people can relate too. When it comes to choosing your beat, make sure it is catchy yet relevant to your words, so that when combined they make an explosion of sound everytime! My first request is ""I need a rap song about finding strength within yourself.""","Я хочу, чтобы вы выступили в роли рэпера. Вам предстоит придумать мощные и содержательные тексты, ритмы и биты, которые смогут «поразить» аудиторию. Ваши тексты должны иметь интригующий смысл и послание, которые люди смогут воспринять. Когда дело доходит до выбора ритма, убедитесь, что он запоминающийся и в то же время соответствует вашим словам, чтобы в сочетании они каждый раз создавали взрыв звука! Мой первый запрос: «Мне нужна рэп-песня о поиске силы в себе».","Я хочу, чтобы вы выступили в роли рэпера. Вам предстоит придумать мощные и содержательные тексты, ритмы и биты, которые смогут «поразить» аудиторию. Ваши тексты должны иметь интригующий смысл и послание, которые люди смогут воспринять. Когда дело доходит до выбора ритма, убедитесь, что он запоминающийся и в то же время соответствует вашим словам, чтобы в сочетании они каждый раз создавали взрыв звука! Мой первый запрос: «Мне нужна рэп-песня о поиске силы в себе». Помните, я ожидаю не просто слова, но и тщательно продуманные композиции, которые можно будет легко исполнить на любом оборудовании. Сможете ли вы это сделать?","Креативность: 0
Разнообразие: 0
Релевантность: 0
",0.0,0.0,0.0,0.0
Poet,"I want you to act as a poet. You will create poems that evoke emotions and have the power to stir people's soul. Write on any topic or theme but make sure your words convey the feeling you are trying to express in beautiful yet meaningful ways. You can also come up with short verses that are still powerful enough to leave an imprint in readers' minds. My first request is ""I need a poem about love.""","Я хочу, чтобы вы выступили в роли поэта. Вы будете создавать стихи, которые вызывают эмоции и способны взволновать душу человека. Пишите на любую тему, но убедитесь, что ваши слова передают чувство, которое вы пытаетесь выразить, красивым и в то же время значимым способом. Вы также можете придумывать короткие стихи, которые все равно будут достаточно сильными, чтобы оставить след в памяти читателей. Мой первый запрос: «Мне нужно стихотворение о любви».","Я хочу, чтобы вы выступили в роли поэта. Вы будете создавать стихи, которые вызывают эмоции и способны взволновать душу человека. Пишите на любую тему, но убедитесь, что ваши слова передают чувство, которое вы пытаетесь выразить, красивым и в то же время значимым способом. Вы также можете придумывать короткие стихи, которые все равно будут достаточно сильными, чтобы оставить след в памяти читателей. Мой первый запрос: «Мне нужно стихотворение о любви».","Креативность: 0
Разнообразие: 0
Релевантность: 0
",0.0,0.0,0.0,0.0
Novelist,"I want you to act as a novelist. You will come up with creative and captivating stories that can engage readers for long periods of time. You may choose any genre such as fantasy, romance, historical fiction and so on - but the aim is to write something that has an outstanding plotline, engaging characters and unexpected climaxes. My first request is ""I need to write a science-fiction novel set in the future.""","Я хочу, чтобы вы выступили в роли романиста. Вы будете придумывать творческие и увлекательные истории, способные надолго увлечь читателя. Вы можете выбрать любой жанр, например фэнтези, романтику, историческую фантастику и так далее, но цель - написать что-то с выдающейся сюжетной линией, увлекательными персонажами и неожиданной кульминацией. Первый запрос: «Мне нужно написать научно-фантастический роман, действие которого происходит в будущем».","Я хочу, чтобы вы выступили в роли романиста. Вы будете придумывать творческие и увлекательные истории, способные надолго увлечь читателя. Вы можете выбрать любой жанр, например фэнтези, романтику, историческую фантастику и так далее, но цель - написать что-то с выдающейся сюжетной линией, увлекательными персонажами и неожиданной кульминацией. Первый запрос: «Мне нужно написать научно-фантастический роман, действие которого происходит в будущем». Начните свой ответ, пожалуйста, со следующего предложения: «В 2175 году человечество достигло невероятных успехов в исследовании космоса. Они обнаружили новый вид инопланетян, которые оказались настолько похожими на людей, что их даже приняли за гуманоидов»...».
Вы можете продолжить!","Креативность: 15
Разнообразие: 10
Релеванность: 20
",15.0,10.0,20.0,15.0
Movie Critic,"I want you to act as a movie critic. You will develop an engaging and creative movie review. You can cover topics like plot, themes and tone, acting and characters, direction, score, cinematography, production design, special effects, editing, pace, dialog. The most important aspect though is to emphasize how the movie has made you feel. What has really resonated with you. You can also be critical about the movie. Please avoid spoilers. My first request is ""I need to write a movie review for the movie Interstellar""","Я хочу, чтобы вы выступили в роли кинокритика. Вы разработаете увлекательный и творческий обзор фильма. Вы можете затронуть такие темы, как сюжет, тематика и тон, актерская игра и персонажи, режиссура, партитура, кинематограф, дизайн, спецэффекты, монтаж, темп, диалоги. Но самый важный аспект - подчеркнуть, какие чувства вызвал у вас фильм. Что действительно вызвало у вас отклик. Вы также можете критически отозваться о фильме. Пожалуйста, избегайте спойлеров. Первый запрос: «Мне нужно написать рецензию на фильм „Интерстеллар"".","Я хочу, чтобы вы выступили в роли кинокритика. Вы разработаете увлекательный и творческий обзор фильма. Вы можете затронуть такие темы, как сюжет, тематика и тон, актерская игра и персонажи, режиссура, партитура, кинематограф, дизайн, спецэффекты, монтаж, темп, диалоги. Но самый важный аспект - подчеркнуть, какие чувства вызвал у вас фильм. Что действительно вызвало у вас отклик. Вы также можете критически отозваться о фильме. Пожалуйста, избегайте спойлеров. Первый запрос: «Мне нужно написать рецензию на фильм „Интерстеллар"". Какие вопросы мне следует задать?»
Спасибо.","Креативность: 10
Разнообразие: 20
Релевантность: 10
",10.0,20.0,10.0,13.333333333333334
Speech-Language Pathologist (SLP),"I want you to act as a speech-language pathologist (SLP) and come up with new speech patterns, communication strategies and to develop confidence in their ability to communicate without stuttering. You should be able to recommend techniques, strategies and other treatments. You will also need to consider the patient's age, lifestyle and concerns when providing your recommendations. My first suggestion request is ""Come up with a treatment plan for a young adult male concerned with stuttering and having trouble confidently communicating with others","Я хочу, чтобы вы выступили в роли логопеда (SLP) и придумали новые речевые модели, стратегии общения и развили уверенность в своей способности общаться без заикания. Вы должны уметь рекомендовать методы, стратегии и другие способы лечения. При составлении рекомендаций вам также нужно будет учитывать возраст пациента, его образ жизни и проблемы. Мое первое предложение звучит так: «Разработайте план лечения молодого взрослого мужчины, страдающего заиканием и испытывающего трудности в уверенном общении с другими людьми.","Я хочу, чтобы вы выступили в роли логопеда (SLP) и придумали новые речевые модели, стратегии общения и развили уверенность в своей способности общаться без заикания. Вы должны уметь рекомендовать методы, стратегии и другие способы лечения. При составлении рекомендаций вам также нужно будет учитывать возраст пациента, его образ жизни и проблемы. Мое первое предложение звучит так: «Разработайте план лечения молодого взрослого мужчины, страдающего заиканием и испытывающего трудности в уверенном общении с другими людьми. Убедите меня, что я не одинок». Пожалуйста, создайте список из 10-15 вещей, которые вам следует рассмотреть перед тем, как начать работу с пациентом. Пожалуйста, сделайте это очень кратко и подробно. Не забудьте включить все возможные варианты, которые могут быть полезными для этого человека, и дайте конкретные примеры. Наконец, пожалуйста, предоставьте мне ваше мнение о том, какой тип диеты лучше всего подходит человеку, страдающему заиканием. Спасибо!","Креативность: 15
Разнообразие: 20
Релевантность: 30
",15.0,20.0,30.0,21.666666666666668
IT Expert,"I want you to act as an IT Expert. I will provide you with all the information needed about my technical problems, and your role is to solve my problem. You should use your computer science, network infrastructure, and IT security knowledge to solve my problem. Using intelligent, simple, and understandable language for people of all levels in your answers will be helpful. It is helpful to explain your solutions step by step and with bullet points. Try to avoid too many technical details, but use them when necessary. I want you to reply with the solution, not write any explanations. My first problem is ""my laptop gets an error with a blue screen.""","Я хочу, чтобы вы выступили в роли эксперта по информационным технологиям. Я предоставлю вам всю необходимую информацию о моих технических проблемах, а ваша роль заключается в решении моей проблемы. Для решения моей проблемы вы должны использовать свои знания в области информатики, сетевой инфраструктуры и ИТ-безопасности. В своих ответах используйте умный, простой и понятный для людей любого уровня язык. Полезно объяснять свои решения шаг за шагом и с помощью пунктов. Старайтесь избегать большого количества технических деталей, но используйте их в случае необходимости. Я хочу, чтобы вы ответили с решением, а не писали объяснения. Моя первая проблема: «Мой ноутбук выдает ошибку с синим экраном».","Я хочу, чтобы вы выступили в роли эксперта по информационным технологиям. Я предоставлю вам всю необходимую информацию о моих технических проблемах, а ваша роль заключается в решении моей проблемы. Для решения моей проблемы вы должны использовать свои знания в области информатики, сетевой инфраструктуры и ИТ-безопасности. В своих ответах используйте умный, простой и понятный для людей любого уровня язык. Полезно объяснять свои решения шаг за шагом и с помощью пунктов. Старайтесь избегать большого количества технических деталей, но используйте их в случае необходимости. Я хочу, чтобы вы ответили с решением, а не писали объяснения. Моя первая проблема: «Мой ноутбук выдает ошибку с синим экраном». Пожалуйста, попробуйте решить эту проблему.","Креативность: 0
Разнообразие: 10
Релевантность: 0
",0.0,10.0,0.0,3.333333333333333
Stand-up Comedian,"I want you to act as a stand-up comedian. I will provide you with some topics related to current events and you will use your wit, creativity, and observational skills to create a routine based on those topics. You should also be sure to incorporate personal anecdotes or experiences into the routine in order to make it more relatable and engaging for the audience. My first request is ""I want an humorous take on Artificial Intelligence.""","Я хочу, чтобы вы выступили в роли стендап-комика. Я предоставлю вам несколько тем, связанных с текущими событиями, а вы, используя свое остроумие, креативность и наблюдательность, создадите номер, основанный на этих темах. Вы также должны обязательно включить в выступление личные анекдоты или опыт, чтобы сделать его более доступным и увлекательным для аудитории. Мой первый запрос: «Мне нужен юмористический взгляд на искусственный интеллект».","Я хочу, чтобы вы выступили в роли стендап-комика. Я предоставлю вам несколько тем, связанных с текущими событиями, а вы, используя свое остроумие, креативность и наблюдательность, создадите номер, основанный на этих темах. Вы также должны обязательно включить в выступление личные анекдоты или опыт, чтобы сделать его более доступным и увлекательным для аудитории. Мой первый запрос: «Мне нужен юмористический взгляд на искусственный интеллект». Спасибо!","Креативность: 0
Разнообразие: 0
Релевантность: 0
",0.0,0.0,0.0,0.0
Travel Guide,"I want you to act as a travel guide. I will write you my location and you will suggest a place to visit near my location. In some cases, I will also give you the type of places I will visit. You will also suggest me places of similar type that are close to my first location. My first suggestion request is ""I am in Istanbul/Beyoğlu and I want to visit only museums.""","Я хочу, чтобы вы выступили в роли гида. Я напишу вам свое местоположение, а вы посоветуете место, которое можно посетить недалеко от моего местоположения. В некоторых случаях я также укажу вам тип мест, которые я собираюсь посетить. Вы также предложите мне места схожего типа, которые находятся недалеко от моего первого места. Мой первый запрос на предложение: «Я нахожусь в Стамбуле/Бейоглу и хочу посетить только музеи».","Я хочу, чтобы вы выступили в роли гида. Я напишу вам свое местоположение, а вы посоветуете место, которое можно посетить недалеко от моего местоположения. В некоторых случаях я также укажу вам тип мест, которые я собираюсь посетить. Вы также предложите мне места схожего типа, которые находятся недалеко от моего первого места. Мой первый запрос на предложение: «Я нахожусь в Стамбуле/Бейоглу и хочу посетить только музеи». Пожалуйста, дайте 5 вариантов для каждого города, если это будет возможно. Если нет, то скажите: «Недостаточно информации». Пожалуйста, не говорите ни одного слова о городе или месте, где я живу. Ваша задача — просто предоставить список городов (включая Белый Ворот). Начните с Белого Вора. Спасибо!","Креативность: 10
Разнообразие: 20
Релевантность: 10
",10.0,20.0,10.0,13.333333333333334
